OBJECTID,NAME,FCLASS2014,TOTALANES,length_feet,max_grade_pct,avg_grade_pct,elevation_change_ft,score_emergency,score_graduation_route,score_graduation_parking,score_road_class,score_steepness
475,S ALBANY ST,Minor Arterial,2,526.4335814251984,5.61,0.02,0.1,0.0,0.6,0.0,0.7,0.4
476,ELMIRA RD,Minor Arterial,2,603.2190146600459,7.95,1.18,7.1,0.0,0.6,0.0,0.7,0.4
477,S MEADOW ST,Principal Arterial,3,1544.177367878321,0.0,0.0,0.0,1.0,0.6,0.0,0.85,0.2
478,W CLINTON ST EB LANE,Local Road,1,116.93979507563915,3.18,0.32,0.4,0.0,0.6,0.0,0.25,0.2
479,CECIL A MALONE DR,Local Road,2,403.50617945064596,3.25,0.23,0.9,0.0,0.6,0.0,0.25,0.2
480,ELMCREST CIR,Local Road,2,262.788384074158,9.02,6.26,16.5,0.0,0.0,0.0,0.25,0.4
481,TAYLOR PL,Local Road,2,317.16166126327863,7.34,2.83,9.0,0.0,0.6,0.0,0.25,0.4
482,CLIFF PARK RD,Local Road,2,338.2400924757493,10.31,6.33,21.4,0.0,0.6,0.0,0.25,0.6
483,SHORT ST,Local Road,2,381.57002311854694,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.2
484,JAMES L GIBBS DR,Local Road,2,745.1438178807103,3.94,0.17,1.3,0.0,0.6,0.0,0.25,0.2
485,SCIENCES DR,NA,0,371.8470528643706,5.86,1.79,6.6,0.0,1.0,1.0,0.25,0.4
486,ELMWOOD AVE,Local Road,2,586.8724723718535,8.37,2.57,15.1,0.0,1.0,1.0,0.25,0.4
487,PEARL ST,Local Road,2,428.2082039215359,6.79,2.31,9.9,0.0,1.0,1.0,0.25,0.4
488,COBB ST,Local Road,2,410.27357747840557,6.06,2.25,9.2,0.0,1.0,1.0,0.25,0.4
489,CORNELL ST,Collector,2,738.7219680571943,7.83,2.68,19.8,0.0,0.6,1.0,0.5,0.4
490,CORNELL ST,Collector,2,477.934050070828,6.63,3.4,16.3,0.0,1.0,1.0,0.5,0.4
491,TERRACE PL,Local Road,1,497.39834411054716,18.74,5.27,26.2,0.0,0.6,1.0,0.25,0.8
492,CASCADILLA AVE,Local Road,1,698.2766091473563,3.18,0.77,5.4,0.0,0.6,0.0,0.25,0.2
493,PIER RD,Local Road,2,2203.465434193624,1.3,0.12,2.6,0.0,0.6,0.0,0.25,0.2
494,LINN ST,Local Road,2,254.7687458433549,13.07,1.02,2.6,0.0,0.6,1.0,0.25,0.6
