partition_set_id,partition_id,method,start_node,cycle_time,num_complete_cycles,benefit,benefit_per_minute,cost_without_plow,cost_with_plow,coverage_ratio,total_priority,unique_edges
1,5,chinese_postman,581,50.43855228829971,14,432495.81584973034,600.6886331246254,464261.75999999966,31765.944150269337,1.0,108.54099999999991,190
1,5,chinese_postman,80,50.43855228829971,14,432494.9295709533,600.6874021818796,464261.75999999966,31766.830429046375,1.0,108.54099999999991,190
1,5,chinese_postman,386,50.43855228829971,14,432494.5981971499,600.686941940486,464261.76,31767.16180285011,1.0,108.541,190
0,5,chinese_postman,668,50.43855228829972,14,432493.3052035057,600.6851461159802,464261.76000000007,31768.454796494378,1.0,108.54100000000001,190
0,5,chinese_postman,35,50.43855228829972,14,432491.6429666245,600.6828374536452,464261.7600000001,31770.117033375627,1.0,108.54100000000003,190
0,5,chinese_postman,35,50.43855228829972,14,432491.6429666245,600.6828374536452,464261.7600000001,31770.117033375627,1.0,108.54100000000003,190
1,5,chinese_postman,35,50.43855228829972,14,432491.6429666245,600.6828374536452,464261.7600000001,31770.117033375627,1.0,108.54100000000003,190
1,5,chinese_postman,380,50.43855228829973,14,432490.9946840353,600.6819370611602,464261.7600000001,31770.765315964818,1.0,108.54100000000003,190
2,5,chinese_postman,96,50.43855228829974,14,432488.920331199,600.6790560155542,464261.76000000007,31772.839668801076,1.0,108.54100000000001,190
1,5,chinese_postman,96,50.43855228829974,14,432488.920331199,600.6790560155542,464261.76000000007,31772.839668801076,1.0,108.54100000000001,190
1,5,chinese_postman,96,50.43855228829974,14,432488.920331199,600.6790560155542,464261.76000000007,31772.839668801076,1.0,108.54100000000001,190
0,5,chinese_postman,44,50.43855228829974,14,432487.7724351554,600.6774617154936,464261.76,31773.98756484461,1.0,108.541,190
1,5,chinese_postman,44,50.43855228829974,14,432487.7724351554,600.6774617154936,464261.76,31773.98756484461,1.0,108.541,190
2,5,chinese_postman,43,50.438552288299746,14,432487.64833554474,600.6772893549232,464261.76,31774.111664455268,1.0,108.541,190
2,5,chinese_postman,586,50.43855228829973,14,432487.06224326964,600.6764753378745,464261.76000000007,31774.697756730413,1.0,108.54100000000001,190
0,5,chinese_postman,357,50.43855228829974,14,432486.36200881825,600.6755027900253,464261.76000000007,31775.397991181828,1.0,108.54100000000001,190
1,5,chinese_postman,357,50.43855228829974,14,432486.36200881825,600.6755027900253,464261.76000000007,31775.397991181828,1.0,108.54100000000001,190
1,5,chinese_postman,365,50.438552288299746,14,432486.2878915719,600.6753998494054,464261.76,31775.472108428126,1.0,108.541,190
0,5,chinese_postman,365,50.438552288299746,14,432486.2878915719,600.6753998494054,464261.76,31775.472108428126,1.0,108.541,190
0,5,chinese_postman,370,50.43855228829973,14,432486.247187529,600.6753433160125,464261.75999999983,31775.51281247083,1.0,108.54099999999997,190
2,5,chinese_postman,620,50.43855228829974,14,432485.97679043567,600.674967764494,464261.76000000007,31775.78320956439,1.0,108.54100000000001,190
2,5,chinese_postman,651,50.43855228829974,14,432485.77866815473,600.6746925946593,464261.76000000007,31775.981331845338,1.0,108.54100000000001,190
2,5,chinese_postman,360,50.438552288299746,14,432484.3357197129,600.6726884996012,464261.76000000007,31777.4242802872,1.0,108.54100000000001,190
2,5,chinese_postman,360,50.438552288299746,14,432484.3357197129,600.6726884996012,464261.76000000007,31777.4242802872,1.0,108.54100000000001,190
